FreqDailyobsdate,SOFRINDEX,SOFR30DAYAVG,SOFR90DAYAVG,SOFR180DAYAVG
2019-08-28,1.03156120,2.162500000000000000,2.344700000000000000,2.40266000000000000
2019-08-29,1.03162195,2.153150000000000000,2.341570000000000000,2.40120000000000000
2019-08-30,1.03168270,2.144130000000000000,2.337440000000000000,2.39974000000000000
2019-09-02,#N/A,#N/A,#N/A,#N/A
2019-09-03,1.03193030,2.128090000000000000,2.324810000000000000,2.39479000000000000
2019-09-04,1.03199251,2.127420000000000000,2.322240000000000000,2.39361000000000000
2019-09-05,1.03205586,2.130100000000000000,2.320110000000000000,2.39260000000000000
2019-09-06,1.03211922,2.133430000000000000,2.318100000000000000,2.39159000000000000
2019-09-09,1.03230414,2.138440000000000000,2.310060000000000000,2.38760000000000000
2019-09-10,1.03236493,2.138780000000000000,2.307150000000000000,2.38602000000000000
2019-09-11,1.03242630,2.139780000000000000,2.304580000000000000,2.38445000000000000
2019-09-12,1.03248796,2.140780000000000000,2.302350000000000000,2.38271000000000000
2019-09-13,1.03255105,2.142120000000000000,2.300670000000000000,2.38125000000000000
2019-09-16,1.03274035,2.147450000000000000,2.294970000000000000,2.37736000000000000
2019-09-17,1.03281006,2.157470000000000000,2.295420000000000000,2.37714000000000000
2019-09-18,1.03296068,2.261660000000000000,2.327710000000000000,2.39294000000000000
2019-09-19,1.03303385,2.276350000000000000,2.329840000000000000,2.39378000000000000
2019-09-20,1.03308981,2.270340000000000000,2.325150000000000000,2.39125000000000000
2019-09-23,1.03324993,2.246630000000000000,2.307820000000000000,2.38214000000000000
2019-09-24,1.03330303,2.238280000000000000,2.301560000000000000,2.37905000000000000
2019-09-25,1.03335929,2.233610000000000000,2.296310000000000000,2.37641000000000000
2019-09-26,1.03341699,2.230600000000000000,2.291730000000000000,2.37281000000000000
2019-09-27,1.03347009,2.220580000000000000,2.284470000000000000,2.36832000000000000
2019-09-30,1.03362684,2.189200000000000000,2.262570000000000000,2.35646000000000000
2019-10-01,1.03369431,2.195550000000000000,2.260780000000000000,2.35578000000000000
2019-10-02,1.03374829,2.186210000000000000,2.253190000000000000,2.35252000000000000
2019-10-03,1.03380141,2.175850000000000000,2.245250000000000000,2.34910000000000000
2019-10-04,1.03385425,2.164840000000000000,2.236880000000000000,2.34561000000000000
2019-10-07,1.03401105,2.127770000000000000,2.212300000000000000,2.33488000000000000
2019-10-08,1.03406362,2.117090000000000000,2.205370000000000000,2.33139000000000000
2019-10-09,1.03411675,2.107070000000000000,2.198560000000000000,2.32808000000000000
2019-10-10,1.03416990,2.098060000000000000,2.192300000000000000,2.32476000000000000
2019-10-11,1.03422304,2.088370000000000000,2.186610000000000000,2.32145000000000000
2019-10-14,#N/A,#N/A,#N/A,#N/A
2019-10-15,1.03443563,2.043290000000000000,2.161470000000000000,2.30751000000000000
2019-10-16,1.03449310,2.036620000000000000,2.156220000000000000,2.30470000000000000
2019-10-17,1.03455201,2.023930000000000000,2.151640000000000000,2.30217000000000000
2019-10-18,1.03460805,1.913760000000000000,2.146500000000000000,2.29908000000000000
2019-10-21,1.03477014,1.889720000000000000,2.128860000000000000,2.28908000000000000
2019-10-22,1.03482360,1.889720000000000000,2.122820000000000000,2.28582000000000000
2019-10-23,1.03487735,1.890060000000000000,2.116790000000000000,2.28256000000000000
2019-10-24,1.03493111,1.890720000000000000,2.110650000000000000,2.27925000000000000
